method,chip_id,psnr,ssim,sam,ergas,ndvi_delta
esrgan,61,22.554303848434692,0.4676544,1.9517772,5.4326377,0.025625287
bicubic,62,30.50967165982915,0.8845112,1.0029398,3.0557568,0.0174295
lanczos,62,30.281872998807632,0.8771232,1.0349194,3.138088,0.018700277
esrgan,62,23.965559118537886,0.50714767,2.3788922,6.390676,0.029195337
bicubic,63,32.493941012410694,0.8990035,0.9513832,2.720577,0.019102674
lanczos,63,32.23039657322369,0.8917348,0.9813797,2.8038375,0.019928692
esrgan,63,24.189052150586168,0.54940826,2.829701,6.9549427,0.03712117
bicubic,64,32.91274011637983,0.93534553,0.9431031,2.552462,0.018261287
lanczos,64,33.052197611322065,0.9357093,0.9407827,2.5122783,0.018496346
esrgan,64,20.95400064222882,0.6158187,4.1594076,10.189378,0.055690765
bicubic,65,34.90720972155308,0.92956173,0.85098565,2.460433,0.015637983
lanczos,65,34.60147685009637,0.92292374,0.8933085,2.5470278,0.016789194
esrgan,65,26.91212778971009,0.68775576,2.473996,6.0822296,0.031582106
bicubic,66,31.277643820609544,0.8772751,0.9903095,2.9828222,0.018417554
lanczos,66,31.18700537806103,0.87398034,1.003852,3.0155625,0.019124724
esrgan,66,24.124621166673293,0.555964,2.5954847,6.7312,0.032764956
bicubic,67,31.529175308306794,0.8853904,0.9971143,3.004277,0.018870398
lanczos,67,31.25091888182052,0.87795675,1.0287566,3.101069,0.019930853
esrgan,67,21.10654992778056,0.51238596,2.8096874,9.613107,0.034119964
bicubic,68,32.677999933875206,0.8904635,0.788763,2.2245736,0.01445457
lanczos,68,32.51522964713956,0.8858806,0.8138349,2.2698874,0.015250698
esrgan,68,23.95218447317348,0.5619767,2.1680484,5.944249,0.026363503
bicubic,69,30.939827066110364,0.8712366,1.225129,3.4252324,0.024775088
lanczos,69,30.776493654579586,0.8650135,1.2699481,3.4928122,0.026349628
esrgan,69,24.14783784797865,0.5253537,3.2015226,7.4470415,0.048508123
bicubic,70,32.87100362366681,0.93378085,0.97315377,2.719001,0.017870532
lanczos,70,33.317805484689806,0.9387473,0.952469,2.5875266,0.017731948
esrgan,70,21.38385054944051,0.6117185,4.3450675,10.276229,0.061994165
bicubic,71,33.99000267742149,0.9110287,0.8894007,2.4945261,0.016814934
lanczos,71,33.772616120573005,0.9060343,0.9225282,2.5581794,0.018196097
esrgan,71,26.000579714014833,0.61213434,2.4742577,6.186887,0.02884064
bicubic,72,32.56800371700785,0.9013508,0.8975951,2.5602984,0.017912982
lanczos,72,32.213157607284316,0.892608,0.95252126,2.6649616,0.019038904
esrgan,72,24.69565211884484,0.5699874,2.2306087,6.2603235,0.035351414
bicubic,73,31.649496912864585,0.8603071,1.2062263,3.3649042,0.022981085
lanczos,73,31.351992750148405,0.8534821,1.2481444,3.4801993,0.024267606
esrgan,73,25.56175971775126,0.5668527,2.54115,6.6943436,0.037043266
bicubic,74,31.86961596060104,0.86857224,1.0853881,3.1226945,0.019587465
lanczos,74,31.69721907049646,0.8608934,1.118638,3.1876934,0.020689342
esrgan,74,23.526442141904443,0.5145095,2.9572897,7.8796277,0.03849195
bicubic,75,32.9669087548671,0.9031223,0.7597742,2.1289353,0.014169348
lanczos,75,32.528619976829525,0.8916645,0.7964375,2.2380335,0.015257975
esrgan,75,21.63338054603795,0.49567485,2.341557,7.4990406,0.029978547
bicubic,76,32.635154568569405,0.89194024,0.8697062,2.554808,0.016644776
lanczos,76,32.45124053634911,0.8851616,0.89928263,2.6126294,0.017420808
esrgan,76,25.416255666654422,0.57876766,2.0796149,5.721412,0.028664375
bicubic,77,33.435468694815896,0.9195138,0.9563305,2.7988327,0.0184727
lanczos,77,33.1671335138645,0.91438115,0.99914646,2.885944,0.02000533
esrgan,77,24.698256434061534,0.6008903,3.0467253,7.5471377,0.031846173
bicubic,78,33.48109662719269,0.9049417,0.755016,2.1742563,0.014109824
lanczos,78,33.32664722406515,0.8994397,0.7772663,2.2145321,0.014764747
esrgan,78,26.335765311870492,0.5849699,1.6032852,4.8678317,0.023176376
bicubic,79,33.566319315650965,0.8997595,0.59461594,1.6532842,0.009517205
lanczos,79,33.45164753161667,0.89557064,0.6130677,1.6764213,0.009924497
esrgan,79,25.113210668001965,0.5157175,1.2860794,4.273643,0.016825741
bicubic,80,30.425713312570274,0.8867874,0.9610507,2.7543955,0.019220203
lanczos,80,30.393805922638283,0.8832609,0.9834044,2.766778,0.019916484
esrgan,80,22.44183656097059,0.48089138,2.6307237,6.8047924,0.037708685
bicubic,81,30.570073471274824,0.8627993,0.84786767,2.3435962,0.016228553
lanczos,81,30.32040383659618,0.85438025,0.8772096,2.4120028,0.017059386
esrgan,81,23.02782972177948,0.47708058,2.2360468,5.4608207,0.030759975
bicubic,82,30.92437912489244,0.8752791,0.8741236,2.6956906,0.015491861
lanczos,82,30.706359165479075,0.8690098,0.89267534,2.7651,0.015978279
esrgan,82,21.71962844673876,0.4581563,2.6158636,7.5770097,0.03616868
bicubic,83,30.854109213949332,0.8650864,0.9494897,2.8611498,0.016666874
lanczos,83,30.635896125887676,0.8581101,0.97958547,2.9384465,0.01764043
esrgan,83,22.555415575163515,0.48810688,2.640989,7.2208867,0.031342946
bicubic,84,34.30318884347024,0.9154986,0.8494642,2.4531333,0.01618786
lanczos,84,34.202321996850934,0.9108224,0.8728808,2.4838092,0.016974285
esrgan,84,25.921173567092254,0.6383273,2.0892177,6.399767,0.026841858
bicubic,85,33.295611048248965,0.90155554,0.70374095,1.9749959,0.01299195
lanczos,85,33.16347430325484,0.8971659,0.731618,2.0063844,0.013674986
esrgan,85,25.444237542575728,0.5358102,1.3631343,4.8063464,0.019937886
bicubic,86,32.28520002447481,0.8986784,0.82574713,2.3966818,0.01591028
lanczos,86,32.159891850857,0.8931042,0.8543963,2.4335701,0.016780362
esrgan,86,23.754061165864332,0.5153697,2.1025612,6.272699,0.030508446
bicubic,87,33.75883365179324,0.9052904,0.6826181,2.0303926,0.011407176
lanczos,87,33.673839976396714,0.90245104,0.70049864,2.0532708,0.011872072
esrgan,87,24.886764267337792,0.52880347,1.9888669,5.4814568,0.02449009
bicubic,88,32.68975336774354,0.8990145,0.84979886,2.3626916,0.014165989
lanczos,88,32.72568458148469,0.8975215,0.85722464,2.3580492,0.014514321
esrgan,88,23.6089576309451,0.5353654,2.723063,6.6326966,0.029201834
bicubic,89,32.033025454232714,0.9010334,0.8558198,2.595375,0.015350277
lanczos,89,32.03258421223615,0.8977954,0.8819082,2.6007433,0.016023543
esrgan,89,22.194773494379017,0.5084908,2.9328668,7.8791423,0.03731946
bicubic,90,30.03426525092849,0.84278375,1.0268651,2.8759608,0.019374272
lanczos,90,29.88668419607871,0.838384,1.0541558,2.9272032,0.020266417
esrgan,90,23.55506681486694,0.47894758,2.3418996,6.0003324,0.032149196
bicubic,91,33.385766274533665,0.90119964,0.91982,2.5662827,0.01723157
lanczos,91,33.24945042520464,0.8966087,0.9450356,2.6093717,0.01810772
esrgan,91,25.869326036010094,0.5949562,2.3987336,6.0029736,0.032541797
bicubic,92,31.40572611356747,0.8647664,1.2508458,3.4184575,0.024899855
lanczos,92,31.1287405064289,0.8578575,1.3069241,3.528087,0.026635103
esrgan,92,24.61034898473754,0.5539295,3.0034022,7.3472924,0.043682765
bicubic,93,29.877319442872583,0.83572483,1.1379639,3.2175455,0.022505272
lanczos,93,29.67048923639281,0.83043367,1.1712943,3.2932003,0.023718476
esrgan,93,23.631569558580452,0.47894034,2.420093,6.4721107,0.03506109
bicubic,94,32.594043477824485,0.9093118,0.8961813,2.5092494,0.01719711
lanczos,94,32.473176480898104,0.90570164,0.9235316,2.545327,0.018330822
esrgan,94,22.121855175391076,0.48983747,3.5037148,8.312158,0.0394996
bicubic,95,33.82873799120832,0.9133997,0.78963387,2.3162477,0.013212012
lanczos,95,33.92168156670136,0.91318464,0.7977573,2.2998123,0.013684145
esrgan,95,22.56894029643105,0.55035156,3.011488,8.316574,0.03893036
bicubic,96,31.093891766349376,0.8919632,0.9623339,2.8798013,0.017391682
lanczos,96,30.865816845362467,0.88463354,0.9927704,2.955967,0.018434264
esrgan,96,21.430574322137144,0.46735135,3.444673,8.559093,0.041335773
bicubic,97,30.70778547916761,0.86614466,0.7410583,2.2982187,0.013160492
lanczos,97,30.454580230479692,0.8581131,0.7733006,2.3697064,0.013891728
esrgan,97,23.178526457962555,0.46610594,1.7546027,5.3173623,0.022293055
bicubic,98,33.236601050051924,0.8958975,0.90722376,2.533028,0.017950121
lanczos,98,32.853068345945104,0.8861642,0.9603013,2.643997,0.01944581
esrgan,98,25.83532615438664,0.56433856,2.0942004,5.833226,0.02940699
bicubic,99,32.01850362689647,0.83741295,1.324534,3.6025615,0.025994085
lanczos,99,31.813896179507854,0.82977164,1.3529674,3.6941483,0.026791804
esrgan,99,26.049181018398503,0.57813203,2.817044,7.124295,0.039790902
bicubic,100,30.66276342616134,0.8465558,1.2964123,3.5600922,0.027125802
lanczos,100,30.505363498356687,0.8402742,1.325453,3.6321242,0.028149018
esrgan,100,24.230085677123853,0.4986804,3.2405665,7.453807,0.043329224
bicubic,101,32.35209111336352,0.8949933,0.90445125,2.5867755,0.017567912
lanczos,101,32.253115105113565,0.8908828,0.92919385,2.618361,0.018409159
esrgan,101,24.274212153087586,0.5513651,2.3906631,6.4441957,0.031039158
bicubic,102,33.290981738312375,0.9111511,0.6747296,2.0227087,0.011985419
lanczos,102,33.076532202671885,0.9063386,0.7022993,2.0726984,0.01276538
esrgan,102,24.08621844276531,0.5135292,2.0215883,5.605012,0.021968078
bicubic,103,31.636086184172566,0.8847767,0.9800452,2.802271,0.019179966
lanczos,103,31.312466887823057,0.8735348,1.0303597,2.9064627,0.020663373
esrgan,103,24.60595674128725,0.55527717,2.5326543,6.25036,0.033373695
bicubic,104,32.104185057216874,0.88994616,0.7884603,2.332925,0.0135741485
