method,scene,scale,reflectance,spectral,spatial,synthesis,ha_metric,om_metric,im_metric
bicubic,29,2,0.0027194737922400236,0.6396195292472839,0.0,0.033123958855867386,0.16587141156196594,0.692305862903595,0.1418227106332779
lanczos,29,2,0.0026678957510739565,0.6289276480674744,0.0,0.033152829855680466,0.16658149659633636,0.6914912462234497,0.14192722737789154
esrgan,29,2,0.008557499386370182,2.2739696502685547,0.019999999552965164,0.034080326557159424,0.17154036462306976,0.6586055159568787,0.16985411942005157
sen2sr,29,2,0.006678329315036535,1.464505910873413,0.0,0.03590491786599159,0.17476990818977356,0.6759365200996399,0.14929357171058655
bicubic,30,2,0.0037967204116284847,1.092170238494873,0.0,0.005235123913735151,0.11431562155485153,0.6258608102798462,0.25982359051704407
lanczos,30,2,0.003632752224802971,1.0490362644195557,0.0,0.0054320041090250015,0.13120336830615997,0.5964627265930176,0.27233389019966125
esrgan,30,2,0.014482549391686916,4.332828998565674,0.03999999910593033,0.0136434780433774,0.7808204293251038,0.1040133684873581,0.11516617238521576
sen2sr,30,2,0.007402821443974972,2.402843475341797,0.0,0.009066418744623661,0.35346582531929016,0.33814966678619385,0.308384507894516
bicubic,31,2,0.0020119897089898586,0.4022899270057678,0.0,0.015916435047984123,0.08349593728780746,0.11127322912216187,0.8052308559417725
lanczos,31,2,0.001965300412848592,0.3965255320072174,0.0,0.015989597886800766,0.08077266067266464,0.109598807990551,0.8096285462379456
esrgan,31,2,0.006146049592643976,1.4766671657562256,0.04472135752439499,0.016754966229200363,0.20102481544017792,0.13984452188014984,0.6591306328773499
sen2sr,31,2,0.006396484095603228,1.163612961769104,0.0,0.015774037688970566,0.09672322869300842,0.1274123638868332,0.7758643627166748
bicubic,32,2,0.0023652827367186546,0.46058574318885803,0.0,0.0061612860299646854,0.207440584897995,0.5383185744285583,0.25424081087112427
lanczos,32,2,0.002353833056986332,0.44862064719200134,0.0,0.006204803474247456,0.21084417402744293,0.524482786655426,0.26467305421829224
esrgan,32,2,0.012271204963326454,3.1267900466918945,0.0,0.010280092246830463,0.6303763389587402,0.22400562465190887,0.1456180363893509
sen2sr,32,2,0.008976058103144169,1.9610157012939453,0.0,0.00937904417514801,0.41339942812919617,0.38721397519111633,0.19938664138317108
bicubic,33,2,0.004100196994841099,1.1121840476989746,0.0,0.0057509723119437695,0.059174053370952606,0.29684555530548096,0.6439803838729858
lanczos,33,2,0.003939222544431686,1.0656657218933105,0.0,0.005992555059492588,0.0672876164317131,0.28557878732681274,0.6471336483955383
esrgan,33,2,0.023083742707967758,6.746913433074951,0.04472135752439499,0.016052043065428734,0.6975071430206299,0.07686430215835571,0.2256285399198532
sen2sr,33,2,0.008159688673913479,2.2375104427337646,0.0,0.010681827552616596,0.2625291347503662,0.1928277611732483,0.5446431636810303
bicubic,34,2,0.0023293246049433947,0.6064513921737671,0.0,0.005698696710169315,0.08437773585319519,0.7502692937850952,0.1653529852628708
lanczos,34,2,0.0023029365111142397,0.6000476479530334,0.0,0.005769902374595404,0.08920868486166,0.7417739629745483,0.16901728510856628
esrgan,34,2,0.008203615434467793,2.1277694702148438,0.02828427031636238,0.014372516423463821,0.5804866552352905,0.09875074774026871,0.3207625448703766
sen2sr,34,2,0.006279142573475838,1.569377064704895,0.0,0.013455851003527641,0.36343276500701904,0.08279644697904587,0.5537707209587097
bicubic,35,2,0.005125023890286684,1.372304916381836,0.0,0.007764311973005533,0.2132706642150879,0.47278907895088196,0.31394025683403015
lanczos,35,2,0.004899564664810896,1.3097991943359375,0.0,0.007944450713694096,0.22946810722351074,0.44660744071006775,0.3239244520664215
esrgan,35,2,0.026081643998622894,7.392081260681152,0.03999999910593033,0.016155125573277473,0.6828209161758423,0.18999025225639343,0.1271887868642807
sen2sr,35,2,0.008048680610954762,2.3884172439575195,0.0,0.01192974578589201,0.3947901129722595,0.3244205117225647,0.2807893753051758
bicubic,36,2,0.002091288333758712,0.5797826647758484,0.0,0.0073581887409091,0.19222497940063477,0.297664076089859,0.5101110339164734
lanczos,36,2,0.0020244852639734745,0.5609458088874817,0.0,0.007389726582914591,0.1881173700094223,0.29990828037261963,0.5119743347167969
